"CELL"	"TREAT"	"TIME"	"CONTR"	"plateID"	"sample"	"RG.ratio"	"Filename"	"read"
"39"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1a"	"B08_S58"	0.501133786848073	"B08_S58_R1.fastq.gz"	"R1"
"40"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1a"	"B08_S58"	0.501133786848073	"B08_S58_R2.fastq.gz"	"R2"
"41"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1c"	"B09_S66"	0.511627906976744	"B09_S66_R1.fastq.gz"	"R1"
"42"	"HEK293.tfLC3"	"DMEM"	"0"	"1"	"aea-ac1c"	"B09_S66"	0.511627906976744	"B09_S66_R2.fastq.gz"	"R2"
"43"	"HEK293.tfLC3"	"DMEM"	"30"	"1"	"ae5-ac1b"	"B10_S74"	0.48314606741573	"B10_S74_R1.fastq.gz"	"R1"
"44"	"HEK293.tfLC3"	"DMEM"	"30"	"1"	"ae5-ac1b"	"B10_S74"	0.48314606741573	"B10_S74_R2.fastq.gz"	"R2"
"45"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1a"	"B11_S82"	0.494577006507592	"B11_S82_R1.fastq.gz"	"R1"
"46"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1a"	"B11_S82"	0.494577006507592	"B11_S82_R2.fastq.gz"	"R2"
"47"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1c"	"B12_S90"	0.530660377358491	"B12_S90_R1.fastq.gz"	"R1"
"48"	"HEK293.tfLC3"	"EBSS"	"1"	"0"	"adb-ac1c"	"B12_S90"	0.530660377358491	"B12_S90_R2.fastq.gz"	"R2"
"49"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1a"	"C01_S3"	1.02040816326531	"C01_S3_R1.fastq.gz"	"R1"
"50"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1a"	"C01_S3"	1.02040816326531	"C01_S3_R2.fastq.gz"	"R2"
"51"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1c"	"C02_S11"	1.09189189189189	"C02_S11_R1.fastq.gz"	"R1"
"52"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1c"	"C02_S11"	1.09189189189189	"C02_S11_R2.fastq.gz"	"R2"
"53"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1b"	"C03_S19"	1.29496402877698	"C03_S19_R1.fastq.gz"	"R1"
"54"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1b"	"C03_S19"	1.29496402877698	"C03_S19_R2.fastq.gz"	"R2"
"55"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adca"	"C04_S27"	0.884497313891021	"C04_S27_R1.fastq.gz"	"R1"
"56"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adca"	"C04_S27"	0.884497313891021	"C04_S27_R2.fastq.gz"	"R2"
"57"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcc"	"C05_S35"	0.87681713848508	"C05_S35_R1.fastq.gz"	"R1"
"58"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcc"	"C05_S35"	0.87681713848508	"C05_S35_R2.fastq.gz"	"R2"
"59"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcb"	"C06_S43"	0.874244712990937	"C06_S43_R1.fastq.gz"	"R1"
"60"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcb"	"C06_S43"	0.874244712990937	"C06_S43_R2.fastq.gz"	"R2"
"61"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1b"	"C07_S51"	1.05208333333333	"C07_S51_R1.fastq.gz"	"R1"
"62"	"HEK293.tfLC3"	"EBSS"	"15"	"0"	"adp-ac1b"	"C07_S51"	1.05208333333333	"C07_S51_R2.fastq.gz"	"R2"
"63"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1a"	"C08_S59"	1.36567164179104	"C08_S59_R1.fastq.gz"	"R1"
"64"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1a"	"C08_S59"	1.36567164179104	"C08_S59_R2.fastq.gz"	"R2"
"65"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1c"	"C09_S67"	1.32846715328467	"C09_S67_R1.fastq.gz"	"R1"
"66"	"HEK293.tfLC3"	"EBSS"	"30"	"0"	"ad5-ac1c"	"C09_S67"	1.32846715328467	"C09_S67_R2.fastq.gz"	"R2"
"67"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcb"	"C10_S75"	0.875757575757576	"C10_S75_R1.fastq.gz"	"R1"
"68"	"HeLa.tfLC3"	"DMSO"	"0"	"1"	"cca-adcb"	"C10_S75"	0.875757575757576	"C10_S75_R2.fastq.gz"	"R2"
"69"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adca"	"C11_S83"	0.915327322618581	"C11_S83_R1.fastq.gz"	"R1"
"70"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adca"	"C11_S83"	0.915327322618581	"C11_S83_R2.fastq.gz"	"R2"
"71"	"HeLa.tfLC3"	"DMSO"	"30"	"1"	"cc5-adcc"	"C12_S91"	0.880122558406741	"C12_S91_R1.fastq.gz"	"R1"
