"CELL"	"TREAT"	"TIME"	"CONTR"	"plateID"	"sample"	"RG.ratio"
"55"	"HeLa.tfLC3"	"DMEM"	"30"	"1"	"ce5-adfb"	"E07_S53"	1.07988587731812
"56"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfa"	"E08_S61"	1.2145979020979
"57"	"HeLa.tfLC3"	"EBSS"	"1"	"0"	"cdb-adfc"	"E09_S69"	1.19115789473684
"58"	"HeLa.tfLC3"	"EBSS"	"15"	"0"	"cdp-adfb"	"E10_S77"	2.12657342657343
"59"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfa"	"E11_S85"	3.43770314192849
"60"	"HeLa.tfLC3"	"EBSS"	"30"	"0"	"cd5-adfc"	"E12_S93"	3.49038461538462
"61"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adga"	"F01_S6"	1.62890625
"62"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgc"	"F02_S14"	1.59879518072289
"63"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgb"	"F03_S22"	1.62515413070284
"64"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adga"	"F04_S30"	1.52912019826518
"65"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgc"	"F05_S38"	1.54619883040936
"66"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgb"	"F06_S46"	1.59558823529412
"67"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgb"	"F07_S54"	1.62064825930372
"68"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adga"	"F08_S62"	1.65104166666667
"69"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgc"	"F09_S70"	1.62767295597484
"70"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgb"	"F10_S78"	1.54206730769231
"71"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adga"	"F11_S86"	1.60896637608966
"72"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgc"	"F12_S94"	1.59610705596107
"73"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adga"	"G01_S7"	2.91283292978208
"74"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgc"	"G02_S15"	2.87323943661972
"75"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgb"	"G03_S23"	3.48924731182796
"76"	"SH-SY5Y.tfLC3"	"DMEM"	"0"	"1"	"eea-adsb"	"G04_S31"	1.79329004329004
"77"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsa"	"G05_S39"	1.81113320079523
"78"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsc"	"G06_S47"	1.8116079923882
"79"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgb"	"G07_S55"	2.93516209476309
"80"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adga"	"G08_S63"	3.5186170212766
"81"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgc"	"G09_S71"	3.44854881266491
"82"	"SH-SY5Y.tfLC3"	"DMEM"	"0"	"1"	"eea-adsa"	"G10_S79"	1.75609756097561
"83"	"SH-SY5Y.tfLC3"	"DMEM"	"0"	"1"	"eea-adsc"	"G11_S87"	1.77706323687031
"84"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsb"	"G12_S95"	1.81656804733728
"85"	"SH-SY5Y.tfLC3"	"DMEM"	"30"	"1"	"ee5-adsa"	"H01_S8"	1.89084895259096
"86"	"SH-SY5Y.tfLC3"	"EBSS"	"1"	"0"	"edb-adsa"	"H02_S16"	1.87833140208575
"87"	"SH-SY5Y.tfLC3"	"EBSS"	"1"	"0"	"edb-adsc"	"H03_S24"	1.89651162790698
"88"	"SH-SY5Y.tfLC3"	"EBSS"	"15"	"0"	"edp-adsb"	"H04_S32"	2.82297551789077
"89"	"SH-SY5Y.tfLC3"	"EBSS"	"30"	"0"	"ed5-adsa"	"H05_S40"	3.10444444444444
"90"	"SH-SY5Y.tfLC3"	"EBSS"	"30"	"0"	"ed5-adsc"	"H06_S48"	3.09006928406467
"91"	"SH-SY5Y.tfLC3"	"DMEM"	"30"	"1"	"ee5-adsb"	"H07_S56"	1.89197530864198
"92"	"SH-SY5Y.tfLC3"	"DMEM"	"30"	"1"	"ee5-adsc"	"H08_S64"	1.89130434782609
"93"	"SH-SY5Y.tfLC3"	"EBSS"	"1"	"0"	"edb-adsb"	"H09_S72"	1.86613272311213
"94"	"SH-SY5Y.tfLC3"	"EBSS"	"15"	"0"	"edp-adsa"	"H10_S80"	2.8271375464684
"95"	"SH-SY5Y.tfLC3"	"EBSS"	"15"	"0"	"edp-adsc"	"H11_S88"	2.84060721062619
"96"	"SH-SY5Y.tfLC3"	"EBSS"	"30"	"0"	"ed5-adsb"	"H12_S96"	3.03964757709251
